faust_number,isbn,book_title,book_author
38810928,,"Vi er det liv, vi lever",Svend Brinkmann
48488226,,De stumme piger,Steffen Jacobsen (f. 1956)
29745994,9788711387795,Drengen i den stribede pyjamas,John Boyne
62763671,,Sallys far får fodboldfeber,Thomas Brunstrøm
38484508,,Bob,Helle Helle
48039383,9788726364163,En lykkelig slutning,Maren Uthaug
51602099,,Dengang Sallys far var dreng,Thomas Brunstrøm
48218067,,Vitello rejser på charterferie,Kim Fupz Aakeson
51050452,9788763835879,Djævelens lærling,Kenneth Bøgh Andersen
39491923,,Det er de oprørske der svigter,"Lise Ringhof,Erik Valeur"
48739806,,Yngre med årene,Bente Klarlund Pedersen
134823658,,Atlas - Historien om Pa Salt,
48486835,,"Det, du ikke vil vide",Birgithe Kosovic´
46485157,,"Stærk, let og mæt",Anne Hjernøe
54966563,,Flunkerne og fabeldyrene,"Joaquín Cera,Juan Carlos Ramis"
51711610,9788702133769,Brødrene Løvehjerte,Astrid Lindgren
53134599,,Lev mere tænk mindre,Pia Callesen
46955218,,Vitello ønsker et ønske,Kim Fupz Aakeson
48140343,,Villa Serenas hemmelighed,Domenica De Rosa (f. 1963)
53664636,,Vitello redder verden,Kim Fupz Aakeson
26514053,,Min mormors gebis,Jakob Martin Strid
47109345,9788702288896,Hvor flodkrebsene synger,Delia Owens
51975707,,Vitello går til pigefødselsdag,Kim Fupz Aakeson
28120850,9788702090062,Alle vi børn i Bulderby,Astrid Lindgren
38800329,,Den hemmelige arv,Natasha Lester
47684056,,Den tavse patient,Alex Michaelides (f. 1977)
38618393,,Overleverne,Alex Schulman
48921582,9788758841823,En storm af kugler,Michael Kamp (f. 1974)
61395296,,Forsvundet i mørket,Elly Griffiths
47364612,9788726210125,Sallys far er langt ude i skoven,Thomas Brunstrøm
27302971,9788702048087,Hodja fra Pjort,Ole Lund Kirkegaard
46685334,,Et mørke iblandt os,Mari Jungstedt
46404785,9788740043303,Sigurds samlede godnathistorier,Sigurd Barrett
39147769,,Det der skiller os,Brit Bennett
29570434,,Wimpy Kid. Bind 1,Jeff Kinney
53941079,9788793618657,Omgivet af idioter,Thomas Erikson (f. 1965)
29302863,9788702125061,Gummi-Tarzan,Ole Lund Kirkegaard
47763231,,Det hele handler ikke om dig,Niels Overgaard (f. 1981-01-22)
